I	2	1001110
 	96	101
t	36	1001111
h	22	11000
i	31	11001
n	36	11010
k	4	11011
Q	2	11100
g	13	11101
e	54	11110
f	16	11111
a	41	00000
S	4	00001
r	22	00010
d	15	00011
L	2	00100
y	10	00101
T	2	00110
m	15	00111
p	6	01000
l	23	01001
c	12	01010
o	27	01011
s	23	01100
w	6	01101
j	1	1000110
.	5	01110
u	13	01111
A	2	100000
D	1	1000111
W	1	1001000
q	1	1001001
b	4	100001
,	3	100010
H	1	1001010
z	1	1001011
v	1	1001100
x	1	1001101
